Name,Version,License
popup,20160709.1429,GPL v3 or later
projectile,20181204.1559,GPL v3 or later
projectile-speedbar,20170517.243,GPL v3 or later
puppet-mode,20180813.1947,GPL v3 or later
pyvenv,20181202.1607,GPL v3 or later
rainbow-mode,1.0.1,GPL v3 or later
region-bindings-mode,20140407.2214,GPL v3 or later
request,20181129.1138,GPL v3 or later
rtags,20181205.1639,GPL v3 or later
s,20180406.808,GPL v3 or later
shm,20180327.57,GPL v3 or later
simple-httpd,20180528.1603,Public domain
skewer-mode,20180706.1807,Public domain
smex,20151212.2209,Licensed under the same terms as Emacs
spinner,1.7.3,GPL v3 or later
sr-speedbar,20161025.831,GPL v3 or later
swiper,20181212.1655,GPL v3 or later
tabbar,20180726.1735,GPL v3 or later
tablist,20170220.335,GPL v3 or later
treepy,20180724.656,GPL v3 or later
undo-tree,0.6.5,GPL v3 or later
use-package,20181119.2350,GPL v3 or later
visual-fill-column,20180919.757,GPL v3 or later
visual-regexp,20170301.116,GPL v3 or later
vi-tilde-fringe,20141028.242,GPL v3 or later
w3m,20181022.855,GPL v2 or later
web-mode,20181214.658,GPL v2 or later
websocket,20180423.16,GPL v3 or later
wgrep,20180711.626,GPL v3 or later
wgrep-helm,20170510.2239,GPL v3 or later
with-editor,20181113.1845,GPL v3 or later
wolfram-mode,20180307.13,GPL v2 or later
writeroom-mode,20170623.1027,BSD 3-Clause
yaml-mode,20180409.607,GPL v2 or later
yasnippet,20181015.1212,GPL v3 or later
zoutline,20180314.1759,GPL v3 or later
